"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"PROD_ID";"SPICEPREFIX";
"BATTERY";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"BUZZER";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"C1";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C2";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C3";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C4";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C5";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C6";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C7";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C8";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C9";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C10";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C11";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C12";"0R";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C13";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C14";"NC";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C15";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C16";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C17";"100uF";"CPOL-USA/3216-18W";"A/3216-18W";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"1";"";"C";
"C18";"100uF";"CPOL-USA/3216-18W";"A/3216-18W";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"1";"";"C";
"C19";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C20";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C21";"22pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C22";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C23";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C24";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C25";"33pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C26";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C27";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C28";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C29";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C30";"47pF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C31";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C32";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C33";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C34";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C35";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C36";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C37";"22uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"C38";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"54";"";"C";
"D1";"1N4148_SOD-123_";"1N4148_SOD-123_";"SOD3716X135N";"Small Signal Fast Switching Diode";"";"";"Small Signal Fast Switching Diode";"1.35mm";"Vishay";"1N4148(SOD-123)";"";"";"";"";"";"";"";
"D2";"SMF05C";"SMF05C";"SOT65P210X110-6N";"SEMTECH - SMF05C - DIODE, TVS, 5 CH, BIDIR, 5V, SC70";"";"";"SEMTECH - SMF05C - DIODE, TVS, 5 CH, BIDIR, 5V, SC70";"1.1mm";"SEMTECH";"SMF05C";"";"";"";"";"";"";"";
"D3";"CDSOD323-T05L";"CDSOD323-T05L";"SOD2513X114N";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"CDSOD323-T05L";"https://www.arrow.com/en/products/cdsod323-t05l/bourns?region=nac";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"1.14mm";"Bourns";"CDSOD323-T05L";"652-CDSOD323-T05L";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T05L?qs=6S5Watp5UnKSlOuqhhas9Q%3D%3D";"";"";"";"";"";
"D5";"CDSOD323-T05L";"CDSOD323-T05L";"SOD2513X114N";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"CDSOD323-T05L";"https://www.arrow.com/en/products/cdsod323-t05l/bourns?region=nac";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"1.14mm";"Bourns";"CDSOD323-T05L";"652-CDSOD323-T05L";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T05L?qs=6S5Watp5UnKSlOuqhhas9Q%3D%3D";"";"";"";"";"";
"D6";"SS34";"CDSOD323-T05L";"SOD2513X114N";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"CDSOD323-T05L";"https://www.arrow.com/en/products/cdsod323-t05l/bourns?region=nac";"ESD Suppressors / TVS Diodes Unidirectional Ultra Low Cap";"1.14mm";"Bourns";"CDSOD323-T05L";"652-CDSOD323-T05L";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T05L?qs=6S5Watp5UnKSlOuqhhas9Q%3D%3D";"";"";"";"";"";
"IC1";"SIM7600G-H";"SIM7600G-H";"SIM7600GH";"LTE-FDD/LTE TDD/HSPA+/UMTS/EDGE/GPRS/GSM module solution";"";"";"LTE-FDD/LTE TDD/HSPA+/UMTS/EDGE/GPRS/GSM module solution";"3.1mm";"SIMCOM";"SIM7600G-H";"";"";"";"";"";"";"";
"IC2";"DW01B";"DW01B";"SOT95P280X145-6N";"Battery Protection ICs SOT-23-6 RoHS";"";"";"Battery Protection ICs SOT-23-6 RoHS";"1.45mm";"Foshan Blue Rocket Elec";"DW01B";"";"";"";"";"";"";"";
"IC3";"CP2104-F03-GM";"CP2104-F03-GM";"QFN50P400X400X80-25N";"USB-to-UART Bridge,2Mbps,OTP,QFN24 Silicon Labs CP2104-F03-GM, USB Controller, 12MBps, USB to UART, 3  3.6 V, 24-Pin QFN";"CP2104-F03-GM";"https://www.arrow.com/en/products/cp2104-f03-gm/silicon-labs?region=nac";"USB-to-UART Bridge,2Mbps,OTP,QFN24 Silicon Labs CP2104-F03-GM, USB Controller, 12MBps, USB to UART, 3  3.6 V, 24-Pin QFN";"0.8mm";"Silicon Labs";"CP2104-F03-GM";"634-CP2104-F03-GM";"https://www.mouser.co.uk/ProductDetail/Silicon-Labs/CP2104-F03-GM?qs=j12q4iUN960zrcKDk%2FjKbw%3D%3D";"";"";"";"";"";
"IC4";"TXB0108RGYR";"TXB0108RGYR";"SN74LVC541ARGYR";"8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect";"TXB0108RGYR";"https://www.arrow.com/en/products/txb0108rgyr/texas-instruments?region=nac";"8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect";"1mm";"Texas Instruments";"TXB0108RGYR";"595-TXB0108RGYR";"https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0108RGYR?qs=oFXvjAmG9EjlwpBG6jCg6w%3D%3D";"";"";"";"";"";
"IC5";"632723100011";"632723100011";"632723100011";"WURTH ELEKTRONIK - 632723100011 - USB Connector, USB Type C, USB 3.1, Receptacle, 24 Ways, Surface Mount, Through Hole Mount";"";"";"WURTH ELEKTRONIK - 632723100011 - USB Connector, USB Type C, USB 3.1, Receptacle, 24 Ways, Surface Mount, Through Hole Mount";"3.11mm";"Wurth Elektronik";"632723100011";"710-632723100011";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/632723100011?qs=NK6InXoXhq4o62C9ULXLjQ%3D%3D";"";"";"";"";"";
"J1";"SMA-RA-CONNECTOR";"SMA-RA-CONNECTOR";"SMARACONNECTOR";"SMA R/A Connector";"";"";"SMA R/A Connector";"9mm";"LPRS";"SMA-RA-CONNECTOR";"";"";"";"";"";"";"";
"J2";"SMA-RA-CONNECTOR";"SMA-RA-CONNECTOR";"SMARACONNECTOR";"SMA R/A Connector";"";"";"SMA R/A Connector";"9mm";"LPRS";"SMA-RA-CONNECTOR";"";"";"";"";"";"";"";
"J3";"693043020611";"693043020611";"693043020611";"Memory Card Connectors WR-CRD Nano SIM SMT 1.2mm Push/Pull";"";"";"Memory Card Connectors WR-CRD Nano SIM SMT 1.2mm Push/Pull";"mm";"Wurth Elektronik";"693043020611";"710-693043020611";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/693043020611?qs=a9WhcLg8qCwC%2FpVEDAdA2Q%3D%3D";"";"";"";"";"";
"L1";"B82498F3560G001";"B82498F3560G001";"B82498F";"SMD / SMT Inductors (Coils), L=0.056uH, 2.0mm x 1.25mm [EIA 0805]";"";"";"SMD / SMT Inductors (Coils), L=0.056uH, 2.0mm x 1.25mm [EIA 0805]";"1.4mm";"TDK";"B82498F3560G001";"";"";"";"";"";"";"";
"L2";"XFL5015-152MEC";"XFL5015-152MEC";"XFL5015152MEC";"Fixed Inductors 1.5Uh Shld 8A 20.1mOhms AECQ2";"";"";"Fixed Inductors 1.5Uh Shld 8A 20.1mOhms AECQ2";"1.5mm";"COILCRAFT";"XFL5015-152MEC";"";"";"";"";"";"";"";
"L3";"4.7uH";"XFL5015-152MEC";"XFL5015152MEC";"Fixed Inductors 1.5Uh Shld 8A 20.1mOhms AECQ2";"";"";"Fixed Inductors 1.5Uh Shld 8A 20.1mOhms AECQ2";"1.5mm";"COILCRAFT";"XFL5015-152MEC";"";"";"";"";"";"";"";
"LED1";"APT2012SURCK";"APT2012SURCK";"LEDC2012X85N";"Standard LEDs - SMD RED WATER CLEAR";"APT2012SURCK";"https://www.arrow.com/en/products/apt2012surck/kingbright?region=nac";"Standard LEDs - SMD RED WATER CLEAR";"0.85mm";"Kingbright";"APT2012SURCK";"604-APT2012SURCK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012SURCK?qs=85uWm5%252BqJhXV5L%2Fv9DFxnA%3D%3D";"";"";"";"";"";
"LED2";"APT2012SURCK";"APT2012SURCK";"LEDC2012X85N";"Standard LEDs - SMD RED WATER CLEAR";"APT2012SURCK";"https://www.arrow.com/en/products/apt2012surck/kingbright?region=nac";"Standard LEDs - SMD RED WATER CLEAR";"0.85mm";"Kingbright";"APT2012SURCK";"604-APT2012SURCK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012SURCK?qs=85uWm5%252BqJhXV5L%2Fv9DFxnA%3D%3D";"";"";"";"";"";
"LED3";"APT2012SURCK";"APT2012SURCK";"LEDC2012X85N";"Standard LEDs - SMD RED WATER CLEAR";"APT2012SURCK";"https://www.arrow.com/en/products/apt2012surck/kingbright?region=nac";"Standard LEDs - SMD RED WATER CLEAR";"0.85mm";"Kingbright";"APT2012SURCK";"604-APT2012SURCK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012SURCK?qs=85uWm5%252BqJhXV5L%2Fv9DFxnA%3D%3D";"";"";"";"";"";
"LED4";"APT2012SURCK";"APT2012SURCK";"LEDC2012X85N";"Standard LEDs - SMD RED WATER CLEAR";"APT2012SURCK";"https://www.arrow.com/en/products/apt2012surck/kingbright?region=nac";"Standard LEDs - SMD RED WATER CLEAR";"0.85mm";"Kingbright";"APT2012SURCK";"604-APT2012SURCK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012SURCK?qs=85uWm5%252BqJhXV5L%2Fv9DFxnA%3D%3D";"";"";"";"";"";
"LED5";"APT2012SURCK";"APT2012SURCK";"LEDC2012X85N";"Standard LEDs - SMD RED WATER CLEAR";"APT2012SURCK";"https://www.arrow.com/en/products/apt2012surck/kingbright?region=nac";"Standard LEDs - SMD RED WATER CLEAR";"0.85mm";"Kingbright";"APT2012SURCK";"604-APT2012SURCK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APT2012SURCK?qs=85uWm5%252BqJhXV5L%2Fv9DFxnA%3D%3D";"";"";"";"";"";
"MOTOR";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"PS1";"MIC5231-3.3YM5-TR";"MIC5231-3.3YM5-TR";"SOT95P280X145-5N";"3V3 LDO Regulator";"MIC5231-3.3YM5-TR";"https://www.arrow.com/en/products/mic5231-3.3ym5-tr/microchip-technology?region=nac";"3V3 LDO Regulator";"1.45mm";"Microchip";"MIC5231-3.3YM5-TR";"998-MIC5231-3.3YM5TR";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/MIC5231-3.3YM5-TR?qs=U6T8BxXiZAV4ViZFSz%252BC0A%3D%3D";"";"";"";"";"";
"Q1";"AO3400";"AO3400";"SOT95P280X125-3N";"30V N-Channel MOSFET";"AO3400";"https://www.arrow.com/en/products/ao3400/alpha-and-omega-semiconductor";"30V N-Channel MOSFET";"1.25mm";"Alpha & Omega Semiconductors";"AO3400";"";"";"";"";"";"";"";
"Q2";"UMW8205A";"UMW8205A";"SOT95P285X140-6N";"Dual N-Channel Enhancement Mode MOSFET";"";"";"Dual N-Channel Enhancement Mode MOSFET";"1.4mm";"UMW";"UMW8205A";"";"";"";"";"";"";"";
"Q3";"UMH3N";"UMH3N";"SOT65P230X110-6N";"2 NPN pre-biased (Dual) 100mA 50V SC-70-6(SOT-363) Digital Transistors RoHS";"";"";"2 NPN pre-biased (Dual) 100mA 50V SC-70-6(SOT-363) Digital Transistors RoHS";"1.1mm";"Changjiang Electronics Tech (CJ)";"UMH3N";"";"";"";"";"";"";"";
"Q4";"MMBT3904";"MMBT3904";"SOT95P240X120-3N";"Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23";"MMBT3904";"https://www.arrow.com/en/products/mmbt3904/on-semiconductor";"Transistor GP BJT NPN 40V 0.2A SOT23 Fairchild MMBT3904 NPN Bipolar Transistor, 0.2 A, 40 V, 3-Pin SOT-23";"1.2mm";"onsemi";"MMBT3904";"512-MMBT3904";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBT3904?qs=UMEuL5FsraCg3xKjS4uBJQ%3D%3D";"";"";"";"";"";
"Q5";"NCE3401";"NCE3401";"SOT95P240X115-3N";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"";"";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"1.15mm";"Wuxi NCE Power Semiconductor";"NCE3401";"";"";"";"";"";"";"";
"Q6";"NCE3401";"NCE3401";"SOT95P240X115-3N";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"";"";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"1.15mm";"Wuxi NCE Power Semiconductor";"NCE3401";"";"";"";"";"";"";"";
"R1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R2";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R3";"100R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R4";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R5";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R6";"390R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R7";"390R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R8";"0R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R9";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R10";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R11";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R12";"47K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R13";"47";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R14";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R15";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R16";"NC";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R17";"47K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R18";"47K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R19";"390R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R20";"NC";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R21";"NC";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R22";"NC";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R23";"NC";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R24";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R25";"22R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R26";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R27";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R28";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R29";"100K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R30";"100K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R31";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R32";"120K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R33";"20K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R34";"20K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R35";"20K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R36";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R37";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R38";"120K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R39";"20K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"R40";"100K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"S1";"SWS004";"SWS004";"SMS-004";"SMD Dip Switch 4 pol.";"";"";"";"";"";"";"";"";"";"";"6";"";"";
"S2";"MOMENTARY-SWITCH-SPST-SMD-4.5MM";"MOMENTARY-SWITCH-SPST-SMD-4.5MM";"TACTILE_SWITCH_SMD_4.5MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"SWCH-09213";"";
"SW1";"";"SW_DIP-1";"EDG-01";"DIP SWITCH";"";"";"";"";"";"";"";"";"";"";"3";"";"";
"SWITCH1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"SWITCH2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"U$1";"JW5222";"JW5222";"JW5222";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"ESP32-WROVER";"ESP32-WROVER";"ESP32-WROVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"TCS9208";"TCS9208";"TCS9208";"The TCS9208 step-up switching regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";
